#Types Before Cut: 11091
#Types After Cut: 9682
#Search Hits: 0
474	10	16.885	мной
475	10	16.885	написано
476	10	16.885	своё
477	78	16.788	больше
478	11	16.415	будто
479	11	16.415	посмотреть
480	11	16.415	скажем
481	11	16.415	считаю
482	19	16.325	говоря
483	12	16.234	друзья
484	13	16.224	другую
485	13	16.224	языка
486	21	15.954	виктор
487	29	15.896	соответственно
488	6	15.876	distinct
489	6	15.876	onion
490	6	15.876	part
491	6	15.876	автобус
492	6	15.876	автобусе
493	6	15.876	ам
494	6	15.876	антифриз
495	6	15.876	бабуля
496	6	15.876	бабушки
497	6	15.876	бешбармак
498	6	15.876	бутово
499	6	15.876	вау
500	6	15.876	верно
501	6	15.876	волосы
502	6	15.876	восемнадцать
503	6	15.876	выпускной
504	6	15.876	гончар
505	6	15.876	готовился
506	6	15.876	жигули
507	6	15.876	загрузили
508	6	15.876	запомнила
509	6	15.876	играли
510	6	15.876	идёт
511	6	15.876	книги
512	6	15.876	колесо
513	6	15.876	коллектив
514	6	15.876	кормила
515	6	15.876	красиво
516	6	15.876	культура
517	6	15.876	лагере
518	6	15.876	лингвистике
519	6	15.876	литературу
520	6	15.876	лук
521	6	15.876	любимый
522	6	15.876	математике
523	6	15.876	мгм
524	6	15.876	мем
525	6	15.876	молодец
526	6	15.876	мужик
527	6	15.876	немец
528	6	15.876	ногой
529	6	15.876	обед
530	6	15.876	орешки
531	6	15.876	погрей
532	6	15.876	подумала
533	6	15.876	покупайте
534	6	15.876	полу
535	6	15.876	польский
536	6	15.876	поступил
537	6	15.876	преподаватели
538	6	15.876	пятёрка
539	6	15.876	саш
540	6	15.876	семьдесят
541	6	15.876	слышно
542	6	15.876	снимали
543	6	15.876	снимать
544	6	15.876	спал
545	6	15.876	спрашивают
546	6	15.876	спросить
547	6	15.876	студенты
548	6	15.876	сынок
549	6	15.876	убирай
550	6	15.876	учителей
551	6	15.876	учителем
552	6	15.876	худи
553	6	15.876	чувак
554	6	15.876	шёл
555	6	15.876	щас
556	6	15.876	этаж
557	6	15.876	эх
558	8	15.508	дверь
559	8	15.508	звук
560	8	15.508	интересный
561	8	15.508	паре
562	8	15.508	работала
563	8	15.508	родителей
564	24	15.258	понятно
565	16	15.239	естественно
566	19	15.096	хотел
567	25	14.812	лучше
568	23	14.783	равно
569	18	14.679	е
570	18	14.679	разных
571	18	14.679	сначала
572	9	14.621	берут
573	9	14.621	друзей
574	9	14.621	какого
575	9	14.621	машине
576	9	14.621	половиной
577	9	14.621	тяжело
578	13	14.415	завтра
579	13	14.415	минус
580	13	14.415	спокойно
581	20	14.407	каких
582	73	14.349	поэтому
583	22	14.309	дальше
584	17	14.274	заниматься
585	10	14.272	пришла
586	64	14.263	тогда
587	11	14.186	рядом
588	50	14.081	него
589	16	13.883	наша
590	16	13.883	совершенно
591	26	13.599	плюс
592	18	13.514	каким
593	15	13.509	вас
594	15	13.509	метро
595	24	13.447	чуть
596	38	13.354	достаточно
597	5	13.230	num
598	5	13.230	арахис
599	5	13.230	бабушку
600	5	13.230	баллов
601	5	13.230	венера
602	5	13.230	вернее
603	5	13.230	видела
604	5	13.230	вкусный
605	5	13.230	вложил
606	5	13.230	вырезать
607	5	13.230	выставках
608	5	13.230	вышло
609	5	13.230	гешу
610	5	13.230	горбачёв
611	5	13.230	гости
612	5	13.230	грязь
613	5	13.230	гэкаю
614	5	13.230	двадцати
615	5	13.230	делаем
616	5	13.230	доехали
617	5	13.230	ездила
618	5	13.230	ест
619	5	13.230	жестко
620	5	13.230	жесть
621	5	13.230	живу
622	5	13.230	жила
623	5	13.230	зашли
624	5	13.230	идешь
625	5	13.230	ии
626	5	13.230	ильямихайлович
627	5	13.230	имею
628	5	13.230	инопланетян
629	5	13.230	итак
630	5	13.230	камеру
631	5	13.230	каракатицах
632	5	13.230	картинки
633	5	13.230	кили
634	5	13.230	килограмм
635	5	13.230	классов
636	5	13.230	комнате
637	5	13.230	коридоре
638	5	13.230	красивые
639	5	13.230	крестик
640	5	13.230	крысу
641	5	13.230	лекцию
642	5	13.230	лилии
643	5	13.230	лингвисты
644	5	13.230	лол
645	5	13.230	лука
646	5	13.230	маккартни
647	5	13.230	мальчик
648	5	13.230	маме
649	5	13.230	маму
650	5	13.230	марс
651	5	13.230	математический
652	5	13.230	меровинги
653	5	13.230	мечты
654	5	13.230	миндаль
655	5	13.230	мол
656	5	13.230	нагло
657	5	13.230	най
658	5	13.230	ненавидят
659	5	13.230	нём
660	5	13.230	ого
661	5	13.230	одновременнно
662	5	13.230	ок
663	5	13.230	очки
664	5	13.230	пальто
665	5	13.230	парадигма
666	5	13.230	переехать
667	5	13.230	платье
668	5	13.230	подписывайтесь
669	5	13.230	подумал
670	5	13.230	поехала
671	5	13.230	посмотрела
672	5	13.230	построили
673	5	13.230	прекрасный
674	5	13.230	проронил
675	5	13.230	прочим
676	5	13.230	прошёл
677	5	13.230	пью
678	5	13.230	пятом
679	5	13.230	расписание
680	5	13.230	ребёнок
681	5	13.230	рентген
682	5	13.230	родителям
683	5	13.230	салют
684	5	13.230	своём
685	5	13.230	сестра
686	5	13.230	сидела
687	5	13.230	сидит
688	5	13.230	скайп
689	5	13.230	снимаешь
690	5	13.230	сходить
691	5	13.230	съела
692	5	13.230	твёрдый
693	5	13.230	театр
694	5	13.230	тину
695	5	13.230	толстовка
696	5	13.230	увидела
697	5	13.230	удобно
698	5	13.230	удовольствие
699	5	13.230	умел
700	5	13.230	уметь
701	5	13.230	умеют
702	5	13.230	учёба
703	5	13.230	фамилия
704	5	13.230	физике
705	5	13.230	физику
706	5	13.230	хихи
707	5	13.230	хм
708	5	13.230	хорватии
709	5	13.230	хорошее
710	5	13.230	целую
711	5	13.230	читает
712	5	13.230	читал
713	5	13.230	шестьдесят
714	5	13.230	штука
715	5	13.230	эд
716	14	13.157	главное
717	7	13.113	взяла
718	7	13.113	готовили
719	7	13.113	женщины
720	7	13.113	лагеря
721	7	13.113	одни
722	7	13.113	понравились
723	7	13.113	ребят
724	7	13.113	секунд
725	7	13.113	скажи
